【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
6124    e143    瓩      65-04
6125    e144    瓮      65-05
6126    e145    瓲      65-06
6127    e146    瓰      65-07
6128    e147    瓱      65-08
6129    e148    瓸      65-09
612a    e149    瓷      65-10
612b    e14a    甄      65-11
612c    e14b    甃      65-12
612d    e14c    甅      65-13
612e    e14d    甌      65-14
612f    e14e    甎      65-15
6130    e14f    甍      65-16
6131    e150    甕      65-17
6132    e151    甓      65-18
6133    e152    甞      65-19
6134    e153    甦      65-20
6135    e154    甬      65-21
6136    e155    甼      65-22
6137    e156    畄      65-23
6138    e157    畍      65-24
6139    e158    畊      65-25
613a    e159    畉      65-26
613b    e15a    畛      65-27
613c    e15b    畆      65-28
613d    e15c    畚      65-29
613e    e15d    畩      65-30
613f    e15e    畤      65-31
6140    e15f    畧      65-32
6141    e160    畫      65-33
6142    e161    畭      65-34
6143    e162    畸      65-35
6144    e163    當      65-36
6145    e164    疆      65-37
6146    e165    疇      65-38
6147    e166    畴      65-39
6148    e167    疊      65-40
6149    e168    疉      65-41
614a    e169    疂      65-42
614b    e16a    疔      65-43
614c    e16b    疚      65-44
614d    e16c    疝      65-45
614e    e16d    疥      65-46
614f    e16e    疣      65-47
6150    e16f    痂      65-48
6151    e170    疳      65-49
6152    e171    痃      65-50
6153    e172    疵      65-51
6154    e173    疽      65-52
6155    e174    疸      65-53
6156    e175    疼      65-54
6157    e176    疱      65-55
6158    e177    痍      65-56
6159    e178    痊      65-57
615a    e179    痒      65-58
615b    e17a    痙      65-59
615c    e17b    痣      65-60
615d    e17c    痞      65-61
615e    e17d    痾      65-62
615f    e17e    痿      65-63
6160    e180    痼      65-64
6161    e181    瘁      65-65
6162    e182    痰      65-66
6163    e183    痺      65-67
6164    e184    痲      65-68
6165    e185    痳      65-69
6166    e186    瘋      65-70
6167    e187    瘍      65-71
6168    e188    瘉      65-72
6169    e189    瘟      65-73
616a    e18a    瘧      65-74
616b    e18b    瘠      65-75
616c    e18c    瘡      65-76
616d    e18d    瘢      65-77
616e    e18e    瘤      65-78
616f    e18f    瘴      65-79
6170    e190    瘰      65-80
6171    e191    瘻      65-81
6172    e192    癇      65-82
6173    e193    癈      65-83
6174    e194    癆      65-84
6175    e195    癜      65-85
6176    e196    癘      65-86
6177    e197    癡      65-87
6178    e198    癢      65-88
6179    e199    癨      65-89
617a    e19a    癩      65-90
617b    e19b    癪      65-91
617c    e19c    癧      65-92
617d    e19d    癬      65-93
617e    e19e    癰      65-94
6221    e19f    癲      66-01
6222    e1a0    癶      66-02
6223    e1a1    癸      66-03
6224    e1a2    發      66-04
6225    e1a3    皀      66-05
6226    e1a4    皃      66-06
6227    e1a5    皈      66-07
6228    e1a6    皋      66-08
6229    e1a7    皎      66-09
622a    e1a8    皖      66-10
622b    e1a9    皓      66-11
622c    e1aa    皙      66-12
622d    e1ab    皚      66-13
622e    e1ac    皰      66-14
622f    e1ad    皴      66-15
6230    e1ae    皸      66-16
6231    e1af    皹      66-17
6232    e1b0    皺      66-18
6233    e1b1    盂      66-19
6234    e1b2    盍      66-20
6235    e1b3    盖      66-21
6236    e1b4    盒      66-22
6237    e1b5    盞      66-23
6238    e1b6    盡      66-24
6239    e1b7    盥      66-25
623a    e1b8    盧      66-26
623b    e1b9    盪      66-27
623c    e1ba    蘯      66-28
623d    e1bb    盻      66-29
623e    e1bc    眈      66-30
623f    e1bd    眇      66-31
6240    e1be    眄      66-32
6241    e1bf    眩      66-33
6242    e1c0    眤      66-34
6243    e1c1    眞      66-35
6244    e1c2    眥      66-36
6245    e1c3    眦      66-37
6246    e1c4    眛      66-38
6247    e1c5    眷      66-39
6248    e1c6    眸      66-40
6249    e1c7    睇      66-41
624a    e1c8    睚      66-42
624b    e1c9    睨      66-43
624c    e1ca    睫      66-44
624d    e1cb    睛      66-45
624e    e1cc    睥      66-46
624f    e1cd    睿      66-47
6250    e1ce    睾      66-48
6251    e1cf    睹      66-49
6252    e1d0    瞎      66-50
6253    e1d1    瞋      66-51
6254    e1d2    瞑      66-52
6255    e1d3    瞠      66-53
6256    e1d4    瞞      66-54
6257    e1d5    瞰      66-55
6258    e1d6    瞶      66-56
6259    e1d7    瞹      66-57
625a    e1d8    瞿      66-58
625b    e1d9    瞼      66-59
625c    e1da    瞽      66-60
625d    e1db    瞻      66-61
625e    e1dc    矇      66-62
625f    e1dd    矍      66-63
6260    e1de    矗      66-64
6261    e1df    矚      66-65
6262    e1e0    矜      66-66
6263    e1e1    矣      66-67
6264    e1e2    矮      66-68
6265    e1e3    矼      66-69
6266    e1e4    砌      66-70
6267    e1e5    砒      66-71
6268    e1e6    礦      66-72
6269    e1e7    砠      66-73
626a    e1e8    礪      66-74
626b    e1e9    硅      66-75
626c    e1ea    碎      66-76
626d    e1eb    硴      66-77
626e    e1ec    碆      66-78
626f    e1ed    硼      66-79
6270    e1ee    碚      66-80
6271    e1ef    碌      66-81
6272    e1f0    碣      66-82
6273    e1f1    碵      66-83
6274    e1f2    碪      66-84
6275    e1f3    碯      66-85
6276    e1f4    磑      66-86
6277    e1f5    磆      66-87
6278    e1f6    磋      66-88
6279    e1f7    磔      66-89
627a    e1f8    碾      66-90
627b    e1f9    碼      66-91
627c    e1fa    磅      66-92
627d    e1fb    磊      66-93
627e    e1fc    磬      66-94
6321    e240    磧      67-01
6322    e241    磚      67-02
6323    e242    磽      67-03
6324    e243    磴      67-04
6325    e244    礇      67-05
6326    e245    礒      67-06
6327    e246    礑      67-07
6328    e247    礙      67-08
6329    e248    礬      67-09
632a    e249    礫      67-10
632b    e24a    祀      67-11
632c    e24b    祠      67-12
632d    e24c    祗      67-13
632e    e24d    祟      67-14
632f    e24e    祚      67-15
6330    e24f    祕      67-16
6331    e250    祓      67-17
6332    e251    祺      67-18
6333    e252    祿      67-19
6334    e253    禊      67-20
6335    e254    禝      67-21
6336    e255    禧      67-22
6337    e256    齋      67-23
6338    e257    禪      67-24
6339    e258    禮      67-25
633a    e259    禳      67-26
633b    e25a    禹      67-27
633c    e25b    禺      67-28
633d    e25c    秉      67-29
633e    e25d    秕      67-30
633f    e25e    秧      67-31
6340    e25f    秬      67-32
6341    e260    秡      67-33
6342    e261    秣      67-34
6343    e262    稈      67-35
6344    e263    稍      67-36
6345    e264    稘      67-37
6346    e265    稙      67-38
6347    e266    稠      67-39
6348    e267    稟      67-40
6349    e268    禀      67-41
634a    e269    稱      67-42
634b    e26a    稻      67-43
634c    e26b    稾      67-44
634d    e26c    稷      67-45
634e    e26d    穃      67-46
634f    e26e    穗      67-47
6350    e26f    穉      67-48
6351    e270    穡      67-49
6352    e271    穢      67-50
6353    e272    穩      67-51
6421    e29f    筺      68-01
6422    e2a0    笄      68-02
6423    e2a1    筍      68-03
6424    e2a2    笋      68-04
6425    e2a3    筌      68-05
6426    e2a4    筅      68-06
6427    e2a5    筵      68-07
6428    e2a6    筥      68-08
6429    e2a7    筴      68-09
642a    e2a8    筧      68-10
642b    e2a9    筰      68-11
642c    e2aa    筱      68-12
642d    e2ab    筬      68-13
642e    e2ac    筮      68-14
642f    e2ad    箝      68-15
6430    e2ae    箘      68-16
6431    e2af    箟      68-17
6432    e2b0    箍      68-18
6433    e2b1    箜      68-19
6434    e2b2    箚      68-20
6435    e2b3    箋      68-21
6436    e2b4    箒      68-22
6437    e2b5    箏      68-23
6438    e2b6    筝      68-24
6439    e2b7    箙      68-25
643a    e2b8    篋      68-26
643b    e2b9    篁      68-27
643c    e2ba    篌      68-28
643d    e2bb    篏      68-29
643e    e2bc    箴      68-30
643f    e2bd    篆      68-31
6440    e2be    篝      68-32
6441    e2bf    篩      68-33
6442    e2c0    簑      68-34
6443    e2c1    簔      68-35
6444    e2c2    篦      68-36
6445    e2c3    篥      68-37
6446    e2c4    籠      68-38
6447    e2c5    簀      68-39
6448    e2c6    簇      68-40
6449    e2c7    簓      68-41
644a    e2c8    篳      68-42
644b    e2c9    篷      68-43
644c    e2ca    簗      68-44
644d    e2cb    簍      68-45
644e    e2cc    篶      68-46
644f    e2cd    簣      68-47
6450    e2ce    簧      68-48
6451    e2cf    簪      68-49
6452    e2d0    簟      68-50
6453    e2d1    簷      68-51
6454    e2d2    簫      68-52
6455    e2d3    簽      68-53
6456    e2d4    籌      68-54
6457    e2d5    籃      68-55
6458    e2d6    籔      68-56
6459    e2d7    籏      68-57
645a    e2d8    籀      68-58
645b    e2d9    籐      68-59
645c    e2da    籘      68-60
645d    e2db    籟      68-61
645e    e2dc    籤      68-62
645f    e2dd    籖      68-63
6460    e2de    籥      68-64
6461    e2df    籬      68-65
6462    e2e0    籵      68-66
6463    e2e1    粃      68-67
6464    e2e2    粐      68-68
6465    e2e3    粤      68-69
6466    e2e4    粭      68-70
6467    e2e5    粢      68-71
6468    e2e6    粫      68-72
6469    e2e7    粡      68-73
646a    e2e8    粨      68-74
646b    e2e9    粳      68-75
646c    e2ea    粲      68-76
646d    e2eb    粱      68-77
646e    e2ec    粮      68-78
646f    e2ed    粹      68-79
6470    e2ee    粽      68-80
6471    e2ef    糀      68-81
6472    e2f0    糅      68-82
6473    e2f1    糂      68-83
6474    e2f2    糘      68-84
6475    e2f3    糒      68-85
6476    e2f4    糜      68-86
6477    e2f5    糢      68-87
6478    e2f6    鬻      68-88
6479    e2f7    糯      68-89
647a    e2f8    糲      68-90
647b    e2f9    糴      68-91
647c    e2fa    糶      68-92
647d    e2fb    糺      68-93
647e    e2fc    紆      68-94
6521    e340    紂      69-01
6522    e341    紜      69-02
6523    e342    紕      69-03
6524    e343    紊      69-04
6525    e344    絅      69-05
6526    e345    絋      69-06
6527    e346    紮      69-07
6528    e347    紲      69-08
6529    e348    紿      69-09
652a    e349    紵      69-10
652b    e34a    絆      69-11
652c    e34b    絳      69-12
652d    e34c    絖      69-13
652e    e34d    絎      69-14
652f    e34e    絲      69-15
6530    e34f    絨      69-16
6531    e350    絮      69-17
6532    e351    絏      69-18
6533    e352    絣      69-19
6534    e353    經      69-20
6535    e354    綉      69-21
6536    e355    絛      69-22
6537    e356    綏      69-23
6538    e357    絽      69-24
6539    e358    綛      69-25
653a    e359    綺      69-26
653b    e35a    綮      69-27
653c    e35b    綣      69-28
653d    e35c    綵      69-29
653e    e35d    緇      69-30
653f    e35e    綽      69-31
6540    e35f    綫      69-32
6541    e360    總      69-33
6542    e361    綢      69-34
6543    e362    綯      69-35
6544    e363    緜      69-36
6545    e364    綸      69-37
6546    e365    綟      69-38
6547    e366    綰      69-39
6548    e367    緘      69-40
6549    e368    緝      69-41
654a    e369    緤      69-42
654b    e36a    緞      69-43
654c    e36b    緻      69-44
654d    e36c    緲      69-45
654e    e36d    緡      69-46
654f    e36e    縅      69-47
6550    e36f    縊      69-48
6551    e370    縣      69-49
6552    e371    縡      69-50
6553    e372    縒      69-51
6554    e373    縱      69-52
6555    e374    縟      69-53
6556    e375    縉      69-54
6557    e376    縋      69-55
6558    e377    縢      69-56
6559    e378    繆      69-57
655a    e379    繦      69-58
655b    e37a    縻      69-59
655c    e37b    縵      69-60
655d    e37c    縹      69-61
655e    e37d    繃      69-62
655f    e37e    縷      69-63
6560    e380    縲      69-64
6561    e381    縺      69-65
6562    e382    繧      69-66
6563    e383    繝      69-67
6564    e384    繖      69-68
6565    e385    繞      69-69
6566    e386    繙      69-70
6567    e387    繚      69-71
6568    e388    繹      69-72
6569    e389    繪      69-73
656a    e38a    繩      69-74
656b    e38b    繼      69-75
656c    e38c    繻      69-76
656d    e38d    纃      69-77
656e    e38e    緕      69-78
656f    e38f    繽      69-79
6570    e390    辮      69-80
6571    e391    繿      69-81
6572    e392    纈      69-82
6573    e393    纉      69-83
6574    e394    續      69-84
6575    e395    纒      69-85
6576    e396    纐      69-86
6577    e397    纓      69-87
6578    e398    纔      69-88
6579    e399    纖      69-89
657a    e39a    纎      69-90
657b    e39b    纛      69-91
657c    e39c    纜      69-92
657d    e39d    缸      69-93
657e    e39e    缺      69-94
6621    e39f    罅      70-01
6622    e3a0    罌      70-02
6623    e3a1    罍      70-03
6624    e3a2    罎      70-04
6625    e3a3    罐      70-05
6626    e3a4    网      70-06
6627    e3a5    罕      70-07
6628    e3a6    罔      70-08
6629    e3a7    罘      70-09
662a    e3a8    罟      70-10
662b    e3a9    罠      70-11
662c    e3aa    罨      70-12
662d    e3ab    罩      70-13
662e    e3ac    罧      70-14
662f    e3ad    罸      70-15
6630    e3ae    羂      70-16
6631    e3af    羆      70-17
6632    e3b0    羃      70-18
6633    e3b1    羈      70-19
6634    e3b2    羇      70-20
6635    e3b3    羌      70-21
6636    e3b4    羔      70-22
6637    e3b5    羞      70-23
6638    e3b6    羝      70-24
6639    e3b7    羚      70-25
663a    e3b8    羣      70-26
663b    e3b9    羯      70-27
663c    e3ba    羲      70-28
663d    e3bb    羹      70-29
663e    e3bc    羮      70-30
663f    e3bd    羶      70-31
6640    e3be    羸      70-32
6641    e3bf    譱      70-33
6642    e3c0    翅      70-34
6643    e3c1    翆      70-35
6644    e3c2    翊      70-36
6645    e3c3    翕      70-37
6646    e3c4    翔      70-38
6647    e3c5    翡      70-39
6648    e3c6    翦      70-40
6649    e3c7    翩      70-41
664a    e3c8    翳      70-42
664b    e3c9    翹      70-43
664c    e3ca    飜      70-44
664d    e3cb    耆      70-45
664e    e3cc    耄      70-46
664f    e3cd    耋      70-47
6650    e3ce    耒      70-48
6651    e3cf    耘      70-49
6652    e3d0    耙      70-50
6653    e3d1    耜      70-51
6654    e3d2    耡      70-52
6655    e3d3    耨      70-53
6656    e3d4    耿      70-54
6657    e3d5    耻      70-55
6658    e3d6    聊      70-56
6659    e3d7    聆      70-57
665a    e3d8    聒      70-58
665b    e3d9    聘      70-59
665c    e3da    聚      70-60
665d    e3db    聟      70-61
665e    e3dc    聢      70-62
665f    e3dd    聨      70-63
6660    e3de    聳      70-64
6661    e3df    聲      70-65
6662    e3e0    聰      70-66
6663    e3e1    聶      70-67
6664    e3e2    聹      70-68
6665    e3e3    聽      70-69
6666    e3e4    聿      70-70
6667    e3e5    肄      70-71
6668    e3e6    肆      70-72
6669    e3e7    肅      70-73
666a    e3e8    肛      70-74
666b    e3e9    肓      70-75
666c    e3ea    肚      70-76
666d    e3eb    肭      70-77
666e    e3ec    冐      70-78
666f    e3ed    肬      70-79
6670    e3ee    胛      70-80
6671    e3ef    胥      70-81
6672    e3f0    胙      70-82
6673    e3f1    胝      70-83
6674    e3f2    胄      70-84
6675    e3f3    胚      70-85
6676    e3f4    胖      70-86
6677    e3f5    脉      70-87
6678    e3f6    胯      70-88
6679    e3f7    胱      70-89
667a    e3f8    脛      70-90
667b    e3f9    脩      70-91
667c    e3fa    脣      70-92
667d    e3fb    脯      70-93
667e    e3fc    腋      70-94
6721    e440    隋      71-01
6722    e441    腆      71-02
6723    e442    脾      71-03
6724    e443    腓      71-04
6725    e444    腑      71-05
6726    e445    胼      71-06
6727    e446    腱      71-07
6728    e447    腮      71-08
6729    e448    腥      71-09
672a    e449    腦      71-10
672b    e44a    腴      71-11
672c    e44b    膃      71-12
672d    e44c    膈      71-13
672e    e44d    膊      71-14
672f    e44e    膀      71-15
6730    e44f    膂      71-16
6731    e450    膠      71-17
6732    e451    膕      71-18
6733    e452    膤      71-19
6734    e453    膣      71-20
6735    e454    腟      71-21
6736    e455    膓      71-22
6737    e456    膩      71-23
6738    e457    膰      71-24
6739    e458    膵      71-25
673a    e459    膾      71-26
673b    e45a    膸      71-27
673c    e45b    膽      71-28
673d    e45c    臀      71-29
673e    e45d    臂      71-30
673f    e45e    膺      71-31
6740    e45f    臉      71-32
6741    e460    臍      71-33
6742    e461    臑      71-34
6743    e462    臙      71-35
6744    e463    臘      71-36
6745    e464    臈      71-37
6746    e465    臚      71-38
6747    e466    臟      71-39
6748    e467    臠      71-40
6749    e468    臧      71-41
674a    e469    臺      71-42
674b    e46a    臻      71-43
674c    e46b    臾      71-44
674d    e46c    舁      71-45
674e    e46d    舂      71-46
674f    e46e    舅      71-47
6750    e46f    與      71-48
6751    e470    舊      71-49
6752    e471    舍      71-50
6753    e472    舐      71-51
6754    e473    舖      71-52
6755    e474    舩      71-53
6756    e475    舫      71-54
6757    e476    舸      71-55
6758    e477    舳      71-56
6759    e478    艀      71-57
675a    e479    艙      71-58
675b    e47a    艘      71-59
675c    e47b    艝      71-60
675d    e47c    艚      71-61
675e    e47d    艟      71-62
675f    e47e    艤      71-63
6760    e480    艢      71-64
6761    e481    艨      71-65
6762    e482    艪      71-66
6763    e483    艫      71-67
6764    e484    舮      71-68
6765    e485    艱      71-69
6766    e486    艷      71-70
6767    e487    艸      71-71
6768    e488    艾      71-72
6769    e489    芍      71-73
676a    e48a    芒      71-74
676b    e48b    芫      71-75
676c    e48c    芟      71-76
676d    e48d    芻      71-77
676e    e48e    芬      71-78
676f    e48f    苡      71-79
6770    e490    苣      71-80
6771    e491    苟      71-81
6772    e492    苒      71-82
6773    e493    苴      71-83
6774    e494    苳      71-84
6775    e495    苺      71-85
6776    e496    莓      71-86
6777    e497    范      71-87
6778    e498    苻      71-88
6779    e499    苹      71-89
677a    e49a    苞      71-90
677b    e49b    茆      71-91
677c    e49c    苜      71-92
677d    e49d    茉      71-93
677e    e49e    苙      71-94
6821    e49f    茵      72-01
6822    e4a0    茴      72-02
6823    e4a1    茖      72-03
6824    e4a2    茲      72-04
6825    e4a3    茱      72-05
6826    e4a4    荀      72-06
6827    e4a5    茹      72-07
6828    e4a6    荐      72-08
6829    e4a7    荅      72-09
682a    e4a8    茯      72-10
682b    e4a9    茫      72-11
682c    e4aa    茗      72-12
682d    e4ab    茘      72-13
682e    e4ac    莅      72-14
682f    e4ad    莚      72-15
6830    e4ae    莪      72-16
6831    e4af    莟      72-17
6832    e4b0    莢      72-18
6833    e4b1    莖      72-19
6834    e4b2    茣      72-20
6835    e4b3    莎      72-21
6836    e4b4    莇      72-22
6837    e4b5    莊      72-23
6838    e4b6    荼      72-24
6839    e4b7    莵      72-25
683a    e4b8    荳      72-26
683b    e4b9    荵      72-27
683c    e4ba    莠      72-28
683d    e4bb    莉      72-29
683e    e4bc    莨      72-30
683f    e4bd    菴      72-31
6840    e4be    萓      72-32
6841    e4bf    菫      72-33
6842    e4c0    菎      72-34
6843    e4c1    菽      72-35
6844    e4c2    萃      72-36
6845    e4c3    菘      72-37
6846    e4c4    萋      72-38
6847    e4c5    菁      72-39
6848    e4c6    菷      72-40
6849    e4c7    萇      72-41
684a    e4c8    菠      72-42
684b    e4c9    菲      72-43
684c    e4ca    萍      72-44
684d    e4cb    萢      72-45
684e    e4cc    萠      72-46
684f    e4cd    莽      72-47
6850    e4ce    萸      72-48
6851    e4cf    蔆      72-49
6852    e4d0    菻      72-50
6853    e4d1    葭      72-51
6854    e4d2    萪      72-52
6855    e4d3    萼      72-53
6856    e4d4    蕚      72-54
6857    e4d5    蒄      72-55
6858    e4d6    葷      72-56
6859    e4d7    葫      72-57
685a    e4d8    蒭      72-58
685b    e4d9    葮      72-59
685c    e4da    蒂      72-60
685d    e4db    葩      72-61
685e    e4dc    葆      72-62
685f    e4dd    萬      72-63
6860    e4de    葯      72-64
6861    e4df    葹      72-65
6862    e4e0    萵      72-66
6863    e4e1    蓊      72-67
6864    e4e2    葢      72-68
6865    e4e3    蒹      72-69
6866    e4e4    蒿      72-70
6867    e4e5    蒟      72-71
6868    e4e6    蓙      72-72
6869    e4e7    蓍      72-73
686a    e4e8    蒻      72-74
686b    e4e9    蓚      72-75
686c    e4ea    蓐      72-76
686d    e4eb    蓁      72-77
686e    e4ec    蓆      72-78
686f    e4ed    蓖      72-79
6870    e4ee    蒡      72-80
6871    e4ef    蔡      72-81
6872    e4f0    蓿      72-82
6873    e4f1    蓴      72-83
6874    e4f2    蔗      72-84
6875    e4f3    蔘      72-85
6876    e4f4    蔬      72-86
6877    e4f5    蔟      72-87
6878    e4f6    蔕      72-88
6879    e4f7    蔔      72-89
687a    e4f8    蓼      72-90
687b    e4f9    蕀      72-91
687c    e4fa    蕣      72-92
687d    e4fb    蕘      72-93
687e    e4fc    蕈      72-94
6921    e540    蕁      73-01
6922    e541    蘂      73-02
6923    e542    蕋      73-03
6924    e543    蕕      73-04
6925    e544    薀      73-05
6926    e545    薤      73-06
6927    e546    薈      73-07
6928    e547    薑      73-08
6929    e548    薊      73-09
692a    e549    薨      73-10
692b    e54a    蕭      73-11
692c    e54b    薔      73-12
692d    e54c    薛      73-13
692e    e54d    藪      73-14
692f    e54e    薇      73-15
6930    e54f    薜      73-16
6931    e550    蕷      73-17
6932    e551    蕾      73-18
6933    e552    薐      73-19
6934    e553    藉      73-20
6935    e554    薺      73-21
6936    e555    藏      73-22
6937    e556    薹      73-23
6938    e557    藐      73-24
6939    e558    藕      73-25
693a    e559    藝      73-26
693b    e55a    藥      73-27
693c    e55b    藜      73-28
693d    e55c    藹      73-29
693e    e55d    蘊      73-30
693f    e55e    蘓      73-31
6940    e55f    蘋      73-32
6941    e560    藾      73-33
6942    e561    藺      73-34
6943    e562    蘆      73-35
6944    e563    蘢      73-36
6945    e564    蘚      73-37
6946    e565    蘰      73-38
6947    e566    蘿      73-39
6948    e567    虍      73-40
6949    e568    乕      73-41
694a    e569    虔      73-42
694b    e56a    號      73-43
694c    e56b    虧      73-44
694d    e56c    虱      73-45
694e    e56d    蚓      73-46
694f    e56e    蚣      73-47
6950    e56f    蚩      73-48
6951    e570    蚪      73-49
6952    e571    蚋      73-50
6953    e572    蚌      73-51
6954    e573    蚶      73-52
6955    e574    蚯      73-53
6956    e575    蛄      73-54
6957    e576    蛆      73-55
6958    e577    蚰      73-56
6959    e578    蛉      73-57
695a    e579    蠣      73-58
695b    e57a    蚫      73-59
695c    e57b    蛔      73-60
695d    e57c    蛞      73-61
695e    e57d    蛩      73-62
695f    e57e    蛬      73-63
6960    e580    蛟      73-64
6961    e581    蛛      73-65
6962    e582    蛯      73-66
6963    e583    蜒      73-67
6964    e584    蜆      73-68
6965    e585    蜈      73-69
6966    e586    蜀      73-70
6967    e587    蜃      73-71
6968    e588    蛻      73-72
6969    e589    蜑      73-73
696a    e58a    蜉      73-74
696b    e58b    蜍      73-75
696c    e58c    蛹      73-76
696d    e58d    蜊      73-77
696e    e58e    蜴      73-78
696f    e58f    蜿      73-79
6970    e590    蜷      73-80
6971    e591    蜻      73-81
6972    e592    蜥      73-82
6973    e593    蜩      73-83
6974    e594    蜚      73-84
6975    e595    蝠      73-85
6976    e596    蝟      73-86
6977    e597    蝸      73-87
6978    e598    蝌      73-88
6979    e599    蝎      73-89
697a    e59a    蝴      73-90
697b    e59b    蝗      73-91
697c    e59c    蝨      73-92
697d    e59d    蝮      73-93
697e    e59e    蝙      73-94
6a21    e59f    蝓      74-01
6a22    e5a0    蝣      74-02
6a23    e5a1    蝪      74-03
6a24    e5a2    蠅      74-04
6a25    e5a3    螢      74-05
6a26    e5a4    螟      74-06
6a27    e5a5    螂      74-07
6a28    e5a6    螯      74-08
6a29    e5a7    蟋      74-09
6a2a    e5a8    螽      74-10
6a2b    e5a9    蟀      74-11
6a2c    e5aa    蟐      74-12
6a2d    e5ab    雖      74-13
6a2e    e5ac    螫      74-14
6a2f    e5ad    蟄      74-15
6a30    e5ae    螳      74-16
6a31    e5af    蟇      74-17
6a32    e5b0    蟆      74-18
6a33    e5b1    螻      74-19
6a34    e5b2    蟯      74-20
6a35    e5b3    蟲      74-21
6a36    e5b4    蟠      74-22
6a37    e5b5    蠏      74-23
6a38    e5b6    蠍      74-24
6a39    e5b7    蟾      74-25
6a3a    e5b8    蟶      74-26
6a3b    e5b9    蟷      74-27
6a3c    e5ba    蠎      74-28
6a3d    e5bb    蟒      74-29
6a3e    e5bc    蠑      74-30
6a3f    e5bd    蠖      74-31
6a40    e5be    蠕      74-32
6a41    e5bf    蠢      74-33
6a42    e5c0    蠡      74-34
6a43    e5c1    蠱      74-35
6a44    e5c2    蠶      74-36
6a45    e5c3    蠹      74-37
6a46    e5c4    蠧      74-38
6a47    e5c5    蠻      74-39
6a48    e5c6    衄      74-40
6a49    e5c7    衂      74-41
6a4a    e5c8    衒      74-42
6a4b    e5c9    衙      74-43
6a4c    e5ca    衞      74-44
6a4d    e5cb    衢      74-45
6a4e    e5cc    衫      74-46
6a4f    e5cd    袁      74-47
6a50    e5ce    衾      74-48
6a51    e5cf    袞      74-49
6a52    e5d0    衵      74-50
6a53    e5d1    衽      74-51
6a54    e5d2    袵      74-52
6a55    e5d3    衲      74-53
6a56    e5d4    袂      74-54
6a57    e5d5    袗      74-55
6a58    e5d6    袒      74-56
6a59    e5d7    袮      74-57
6a5a    e5d8    袙      74-58
6a5b    e5d9    袢      74-59
6a5c    e5da    袍      74-60
6a5d    e5db    袤      74-61
6a5e    e5dc    袰      74-62
6a5f    e5dd    袿      74-63
6a60    e5de    袱      74-64
6a61    e5df    裃      74-65
6a62    e5e0    裄      74-66
6a63    e5e1    裔      74-67
6a64    e5e2    裘      74-68
6a65    e5e3    裙      74-69
6a66    e5e4    裝      74-70
6a67    e5e5    裹      74-71
6a68    e5e6    褂      74-72
6a69    e5e7    裼      74-73
6a6a    e5e8    裴      74-74
6a6b    e5e9    裨      74-75
6a6c    e5ea    裲      74-76
6a6d    e5eb    褄      74-77
6a6e    e5ec    褌      74-78
6a6f    e5ed    褊      74-79
6a70    e5ee    褓      74-80
6a71    e5ef    襃      74-81
6a72    e5f0    褞      74-82
6a73    e5f1    褥      74-83
6a74    e5f2    褪      74-84
6a75    e5f3    褫      74-85
6a76    e5f4    襁      74-86
6a77    e5f5    襄      74-87
6a78    e5f6    褻      74-88
6a79    e5f7    褶      74-89
6a7a    e5f8    褸      74-90
6a7b    e5f9    襌      74-91
6a7c    e5fa    褝      74-92
6a7d    e5fb    襠      74-93
6a7e    e5fc    襞      74-94
6b21    e640    襦      75-01
6b22    e641    襤      75-02
6b23    e642    襭      75-03
6b24    e643    襪      75-04
6b25    e644    襯      75-05
6b26    e645    襴      75-06
6b27    e646    襷      75-07
6b28    e647    襾      75-08
6b29    e648    覃      75-09
6b2a    e649    覈      75-10
6b2b    e64a    覊      75-11
6b2c    e64b    覓      75-12
6b2d    e64c    覘      75-13
6b2e    e64d    覡      75-14
6b2f    e64e    覩      75-15
6b30    e64f    覦      75-16
6b31    e650    覬      75-17
6b32    e651    覯      75-18
6b33    e652    覲      75-19
6b34    e653    覺      75-20
6b35    e654    覽      75-21
6b36    e655    覿      75-22
6b37    e656    觀      75-23
6b38    e657    觚      75-24
6b39    e658    觜      75-25
6b3a    e659    觝      75-26
6b3b    e65a    觧      75-27
6b3c    e65b    觴      75-28
6b3d    e65c    觸      75-29
6b3e    e65d    訃      75-30
6b3f    e65e    訖      75-31
6b40    e65f    訐      75-32
6b41    e660    訌      75-33
6b42    e661    訛      75-34
6b43    e662    訝      75-35
6b44    e663    訥      75-36
6b45    e664    訶      75-37
6b46    e665    詁      75-38
6b47    e666    詛      75-39
6b48    e667    詒      75-40
6b49    e668    詆      75-41
6b4a    e669    詈      75-42
6b4b    e66a    詼      75-43
6b4c    e66b    詭      75-44
6b4d    e66c    詬      75-45
6b4e    e66d    詢      75-46
6b4f    e66e    誅      75-47
6b50    e66f    誂      75-48
6b51    e670    誄      75-49
6b52    e671    誨      75-50
6b53    e672    誡      75-51
6b54    e673    誑      75-52
6b55    e674    誥      75-53
6b56    e675    誦      75-54
6b57    e676    誚      75-55
6b58    e677    誣      75-56
6b59    e678    諄      75-57
6b5a    e679    諍      75-58
6b5b    e67a    諂      75-59
6b5c    e67b    諚      75-60
6b5d    e67c    諫      75-61
6b5e    e67d    諳      75-62
6b5f    e67e    諧      75-63
6b60    e680    諤      75-64
6b61    e681    諱      75-65
6b62    e682    謔      75-66
6b63    e683    諠      75-67
